"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2024","25,650.0","26,000.0","26,000.0","25,400.0","1.80M","-0.19%"
"06/06/2024","25,700.0","25,600.0","26,250.0","25,400.0","7.36M","0.78%"
"06/05/2024","25,500.0","25,700.0","25,950.0","25,350.0","6.11M","0.00%"
"06/04/2024","25,500.0","25,000.0","26,200.0","24,950.0","15.69M","2.62%"
"06/03/2024","24,850.0","24,750.0","25,000.0","24,550.0","4.36M","1.84%"
"05/31/2024","24,400.0","24,500.0","24,700.0","24,300.0","4.89M","0.21%"
"05/30/2024","24,350.0","24,400.0","24,650.0","24,150.0","6.99M","-1.62%"
"05/29/2024","24,750.0","25,250.0","25,600.0","24,750.0","8.00M","-1.20%"
"05/28/2024","25,050.0","25,250.0","25,250.0","24,850.0","4.43M","0.60%"
"05/27/2024","24,900.0","24,600.0","24,900.0","24,600.0","4.31M","0.40%"
"05/24/2024","24,800.0","25,600.0","25,800.0","24,150.0","12.11M","-3.13%"
"05/23/2024","25,600.0","24,800.0","25,600.0","24,700.0","8.42M","2.81%"
"05/22/2024","24,900.0","25,100.0","25,350.0","24,550.0","8.62M","-0.40%"
"05/21/2024","25,000.0","25,050.0","25,150.0","24,700.0","7.03M","-0.79%"
"05/20/2024","25,200.0","25,200.0","25,700.0","24,900.0","11.40M","1.61%"
"05/17/2024","24,800.0","24,600.0","24,800.0","24,200.0","6.19M","1.02%"
"05/16/2024","24,550.0","24,800.0","24,950.0","24,400.0","5.05M","0.20%"
"05/15/2024","24,500.0","24,050.0","24,700.0","24,050.0","7.61M","1.87%"
"05/14/2024","24,050.0","24,100.0","24,300.0","23,900.0","3.52M","0.21%"
"05/13/2024","24,000.0","24,000.0","24,500.0","23,800.0","7.36M","0.42%"
"05/10/2024","23,900.0","23,900.0","23,900.0","23,350.0","4.56M","0.63%"
"05/09/2024","23,750.0","24,000.0","24,050.0","23,550.0","4.59M","0.00%"
"05/08/2024","23,750.0","23,500.0","24,150.0","22,950.0","8.65M","0.85%"
"05/07/2024","23,550.0","23,400.0","23,800.0","23,200.0","6.17M","0.64%"